symbol	address	ref_from	ref_type	function	function_entry
WPCAP.DLL::pcap_sendpacket	EXTERNAL:00000035	140036141	COMPUTED_JUMP	pcap_sendpacket	140036141
WPCAP.DLL::pcap_open	EXTERNAL:00000036	140043748	DATA		
WPCAP.DLL::pcap_open	EXTERNAL:00000036	14003614d	COMPUTED_JUMP	pcap_open	14003614d
WPCAP.DLL::pcap_sendqueue_alloc	EXTERNAL:00000037	140043750	DATA		
WPCAP.DLL::pcap_sendqueue_alloc	EXTERNAL:00000037	140036153	COMPUTED_JUMP	pcap_sendqueue_alloc	140036153
XIAPI64.DLL::xiGetImage	EXTERNAL:0000025d	140043760	DATA		
XIAPI64.DLL::xiGetImage	EXTERNAL:0000025d	140010241	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiGetImage	EXTERNAL:0000025d	1400132b2	COMPUTED_CALL	FUN_140012ec0	140012ec0
XIAPI64.DLL::xiGetImage	EXTERNAL:0000025d	14000f13f	COMPUTED_CALL	FUN_14000efc0	14000efc0
XIAPI64.DLL::xiStopAcquisition	EXTERNAL:0000025e	140043768	DATA		
XIAPI64.DLL::xiStopAcquisition	EXTERNAL:0000025e	14000fcab	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiStartAcquisition	EXTERNAL:0000025f	140043770	DATA		
XIAPI64.DLL::xiStartAcquisition	EXTERNAL:0000025f	140010222	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiCloseDevice	EXTERNAL:00000260	140043778	DATA		
XIAPI64.DLL::xiCloseDevice	EXTERNAL:00000260	14000fcb5	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiCloseDevice	EXTERNAL:00000260	14000ea38	COMPUTED_CALL	FUN_14000e960	14000e960
XIAPI64.DLL::xiCloseDevice	EXTERNAL:00000260	140012a28	COMPUTED_CALL	FUN_1400129d0	1400129d0
XIAPI64.DLL::xiOpenDevice	EXTERNAL:00000261	140043780	DATA		
XIAPI64.DLL::xiOpenDevice	EXTERNAL:00000261	14000fd24	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiGetNumberDevices	EXTERNAL:00000262	140043788	DATA		
XIAPI64.DLL::xiGetNumberDevices	EXTERNAL:00000262	140013c73	COMPUTED_CALL	FUN_140013c40	140013c40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	140043790	DATA		
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400100d2	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400100e7	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	14001010f	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	140010123	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400100bd	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	14001019c	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400101b1	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400101c6	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400101ef	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	140010204	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400228c9	COMPUTED_CALL	FUN_1400227d0	1400227d0
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	140022933	COMPUTED_CALL	FUN_1400227d0	1400227d0
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	14002291b	COMPUTED_CALL	FUN_1400227d0	1400227d0
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	1400228b2	COMPUTED_CALL	FUN_1400227d0	1400227d0
XIAPI64.DLL::xiSetParamFloat	EXTERNAL:00000263	14002289b	COMPUTED_CALL	FUN_1400227d0	1400227d0
XIAPI64.DLL::xiGetParamInt	EXTERNAL:00000264	140043798	DATA		
XIAPI64.DLL::xiGetParamInt	EXTERNAL:00000264	14000fe05	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiGetParamInt	EXTERNAL:00000264	14000fe2b	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiGetParamInt	EXTERNAL:00000264	1400131d2	COMPUTED_CALL	FUN_140012ec0	140012ec0
XIAPI64.DLL::xiGetParamInt	EXTERNAL:00000264	1400226a2	COMPUTED_CALL	FUN_140022670	140022670
XIAPI64.DLL::xiGetParamString	EXTERNAL:00000265	1400437a0	DATA		
XIAPI64.DLL::xiGetParamString	EXTERNAL:00000265	14000fa98	COMPUTED_CALL	FUN_14000fa20	14000fa20
XIAPI64.DLL::xiGetParamString	EXTERNAL:00000265	14000fab7	COMPUTED_CALL	FUN_14000fa20	14000fa20
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	1400437a8	DATA		
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	140021e0d	COMPUTED_JUMP	FUN_140021dd0	140021dd0
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000fd5f	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000fe7d	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000fe93	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000fea7	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000febb	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000fecf	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000fee3	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	1400100fb	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14001013d	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	1400101da	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	140010218	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	14000fda9	COMPUTED_CALL	FUN_14000fb40	14000fb40
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	140021cdd	COMPUTED_CALL	FUN_140021cc0	140021cc0
